model,anomaly_rate,threshold,precision,recall,f1,roc_auc
One-Class SVM,0.005,-1.4896351214393944,0.056,0.02697495183044316,0.036410923276983094,0.5226471292244714
One-Class SVM,0.01,-0.00011051983494503758,0.042,0.04046242774566474,0.04121687929342493,0.5226471292244714
One-Class SVM,0.02,0.38654292698961307,0.0265,0.051059730250481696,0.03489137590520079,0.5226471292244714
