model,anomaly_rate,threshold,precision,recall,f1,roc_auc
Autoencoder,0.005,0.005998843983920755,0.05,0.024084778420038536,0.032509752925877766,0.5924638791114194
Autoencoder,0.01,0.003961969267247568,0.053,0.051059730250481696,0.052011776251226695,0.5924638791114194
Autoencoder,0.02,0.0028244371620177156,0.0385,0.07418111753371869,0.05069124423963134,0.5924638791114194
